,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,cols_x,cols_y,dropout,learning_rate,learning_rate_decay,loss,mean_absolute_error,session,time,batch_norm,time_distributed,lstm_units,sequence_length,num_data_files,2nd_LSTM_layer
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x1,y1,0.1,0.02,0.0,12.047870876598301,1.46516406536102,models/model-6/20190603032542,8:22,False,False,,10,,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,x1,y1,0.2,0.02,0.0,19.0268260922941,1.6320006847381598,models/model-6/20190603090243,10:17,False,False,,10,,
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,x1,y1,0.0,0.02,0.0,84.32693559831951,3.2256844043731703,models/model-6/20190603092150,10:46,False,True,,10,,
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,x1,y1,0.0,0.02,0.0,327.148213326124,5.29021692276001,models/model-6/20190603093239,3:49,True,True,,10,,
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,x1,y1,0.0,0.02,0.0,8.856982925790179,1.35647177696228,models/model-6/20190603093629,6:36,False,False,,10,,
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,x1,y1,0.0,0.02,0.0,88.9574670219648,3.39616060256958,models/model-6/20190603094527,4:8,True,False,,10,,
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,x1,y1,0.1,0.02,0.0,11.6498968679476,1.4326245784759502,models/model-6/20190603095033,11:4,False,True,,10,,
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,x1,y1,0.1,0.02,0.0,327.016482683839,5.30214834213257,models/model-6/20190603100140,5:12,True,True,,10,,
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,x1,y1,0.1,0.02,0.0,64.0880049487249,2.67196488380432,models/model-6/20190603100653,4:49,True,False,,10,,
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,x1,y1,0.0,0.02,1e-06,21.2861500071511,1.95868563652039,models/model-6/20190603101143,4:49,False,True,,10,,
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,x1,y1,0.0,0.02,1e-06,326.669825291474,5.2838020324707005,models/model-6/20190603101632,3:16,True,True,,10,,
